"niveau","code","intitulé"
"*",,"FRANÇAIS"
"**","LO","Langage oral"
"***",,"Raconter, décrire, exposer"
"****","LO06","Décrire un objet, présenter un travail à la classe en s’exprimant en phrases correctes et dans un vocabulaire approprié."
"***",,"Échanger, débattre"
"****","LO07","Demander et prendre la parole à bon escient."
"****","LO08","Réagir à l’exposé d’un autre élève en apportant un point de vue motivé."
"****","LO09","Participer à un débat en respectant les tours de parole et les règles de la politesse."
"****","LO10","Présenter à la classe un travail collectif."
"***",,"Réciter"
"****","LO11","Dire sans erreur et de manière expressive des textes en prose ou des poèmes (une dizaine)."
"**",,"Lecture (CM1)"
"***","LE10","Lire sans aide les consignes du travail scolaire, les énoncés de problèmes."
"***","LE11","Lire à haute voix avec fluidité et de manière expressive un texte d’une dizaine de lignes, après préparation."
"***","LE12","Lire silencieusement un texte littéraire ou documentaire et le comprendre (reformuler, résumer, répondre à des questions sur ce texte)."
"***","LE13","Repérer dans un texte des informations explicites et en inférer des informations nouvelles (implicites)."
"***","LE14","Dans un récit ou une description, s’appuyer sur les mots de liaison qui marquent les relations spatiales et sur les compléments de lieu pour comprendre avec précision la configuration du lieu de l’action ou du lieu décrit."
"***","LE15","Comprendre l’usage de l’imparfait et du passé simple dans un récit, du présent dans un texte scientifique ou documentaire."
"***","LE16","Saisir l’atmosphère ou le ton d’un texte descriptif, narratif ou poétique, en s’appuyant en particulier sur son vocabulaire."
"***","LE17","Participer à un débat sur un texte en confrontant son interprétation à d’autres de manière argumentée."
"***","LE18","Utiliser les outils usuels de la classe (manuels, affichages, etc.) pour rechercher une information, surmonter une difficulté."
"***","LE19","Effectuer des recherches, avec l’aide de l’adulte, dans des ouvrages documentaires (livres ou produits multimédia)."
"**",,"Littérature"
"***","LI05","Lire au moins un ouvrage par trimestre et en rendre compte ; choisir un extrait caractéristique et le lire à haute voix."
"***","LI06","Adapter son comportement de lecteur aux difficultés rencontrées : notes pour mémoriser, relecture, demande d’aide, etc."
"***","LI07","Se rappeler le titre et l’auteur des œuvres lues."
"***","LI08","Participer à un débat sur une œuvre en confrontant son point de vue à d’autres de manière argumentée."
"**",,"Écriture"
"***","EC03","Copier sans erreur un texte d’une dizaine de lignes, en respectant la mise en page s’il y a lieu."
"**",,"Rédaction (CM1)"
"***","RD06","Dans les diverses activités scolaires, noter des idées, des hypothèses, des informations utiles au travail scolaire."
"***","RD07","Rédiger un court dialogue (formulation des questions et des ordres)."
"***","RD08","Rédiger des textes courts de différents types (récits, descriptions, portraits) en veillant"
"****","RD08a","- à leur cohérence, "
"****","RD08b","- à leur précision (pronoms, mots de liaison, relations temporelles en particulier)"
"****","RD08c","- en évitant les répétitions."
"***","RD09","Savoir amplifier une phrase simple par l’ajout d’éléments coordonnés (et, ni, ou, mais entre des mots ou des phrases simples ; car, donc entre des phrases simples), d’adverbes, de compléments circonstanciels et par l’enrichissement des groupes nominaux."
"**",,"Vocabulaire (CM1)"
"***",,"Acquisition du vocabulaire"
"****","VO10","Utiliser à bon escient des termes afférents aux actions, sensations et jugements."
"***",,"Maîtrise du sens des mots"
"****","VO11","??"
"*****","VO11a","Utiliser le contexte pour comprendre un mot inconnu."
"*****","VO11b","Vérifier son sens dans le dictionnaire."
"****","VO12","Définir un mot connu en utilisant un terme générique adéquat (mots concrets : ex. un pommier est un arbre fruitier)."
"****","VO13","Commencer à identifier les différents niveaux de langue."
"***",,"Les familles de mots"
"****","VO14","Regrouper des mots selon le sens de leur préfixe."
"****","VO15","Regrouper des mots selon le sens de leur suffixe."
"****","VO16","Connaître et utiliser oralement le vocabulaire concernant la construction des mots (radical, préfixe, suffixe, famille)."
"****","VO17","Utiliser la construction d’un mot inconnu pour le comprendre."
"***",,"Utilisation du dictionnaire"
"****","VO18","Dans une définition de dictionnaire, identifier le terme générique."
"****","VO19","Utiliser le dictionnaire pour vérifier le sens d’un mot (en particulier quand il en a plusieurs), ou sa classe, ou son orthographe, ou son niveau de langue."
"****","VO20","Se servir des codes utilisés dans les articles de dictionnaire."
"**",,"Grammaire (CM1)"
"***",,"La phrase"
"****","GR15","Construire correctement des phrases négatives, interrogatives, injonctives."
"****","GR16","Identifier les verbes conjugués dans des phrases complexes et fournir leurs infinitifs."
"**",,"Les classes de mots"
"***","GR17","Distinguer selon leur nature :"
"****","GR17a","- les mots des classes déjà connues, "
"****","GR17b","- les déterminants démonstratifs, interrogatifs,"
"****","GR17c","- les pronoms personnels (sauf en, y),"
"****","GR17d","- les pronoms relatifs (qui, que),"
"****","GR17e","- les adverbes (de lieu, de temps, de manière),"
"****","GR17f","- les négations."
"***",,"Les fonctions"
"****","GR18","Dans une phrase simple où l’ordre sujet-verbe est respecté :"
"*****","GR18a","- identifier le verbe et le sujet (nom propre, groupe nominal, pronom personnel, pronom relatif),"
"*****","GR18b","- reconnaître le complément d’objet second,"
"*****","GR18c","- reconnaître les compléments circonstanciels de lieu, de temps,"
"*****","GR18d","- reconnaître l’attribut du sujet."
"****","GR19","Comprendre la notion de circonstance : la différence entre complément d’objet et complément circonstanciel (manipulations)."
"****","GR20","Le groupe nominal : manipulation de la proposition relative (ajout, suppression, substitution à l’adjectif ou au complément de nom et inver sement)."
"****","GR21","Connaître les fonctions de l’adjectif qualificatif : épithète, attribut du sujet."
"***",,"Le verbe"
"****","GR22","Comprendre la notion d’antériorité d’un fait passé par rapport à un fait présent."
"****","GR23","Connaître : "
"*****","GR23a","- la distinction entre temps simple et temps composé, "
"*****","GR23b","- la règle de formation des temps composés (passé composé),"
"*****","GR23c","- la notion d’auxiliaire."
"****","GR24","Conjuguer les verbes déjà étudiés :"
"*****","GR24a","- aux temps déjà étudiés, "
"*****","GR24b","- à l’indicatif passé simple,"
"*****","GR24c","- au passé composé,"
"*****","GR24d","- à l’impératif présent."
"*****","GR24e","Conjuguer des verbes non étudiés en appliquant les règles apprises."
"***",,"Les accords"
"****","GR25","Connaître la règle de l’accord du participe passé dans les verbes construits avec être (non compris les verbes pronominaux)."
"****","GR26","Connaître la règle de l’accord de l’adjectif (épithète ou attribut) avec le nom."
"**",,"Orthographe (CM1)"
"***","OR15","Écrire sans erreur sous la dictée un texte d’une dizaine de lignes en mobilisant les connaissances acquises."
"***",,"Orthographe grammaticale"
"****","OR16","Écrire sans erreur le pluriel des noms se terminant par -eu, par -eau."
"****","OR17","Le pluriel des noms en -au, -ail est en cours d’acquisition."
"****","OR18","Écrire sans erreur les formes des verbes étudiés aux temps étudiés, dont les verbes du premier groupe en -cer, - ger, - guer."
"****","OR19","Appliquer la règle de l’accord du verbe avec son sujet, y compris pour les verbes à un temps composé, et pour les sujets inversés."
"****","OR20","Appliquer la règle de l’accord du participe passé avec être et avoir (cas du complément d’objet direct postposé)."
"****","OR21","Accorder sans erreur l’adjectif (épithète, apposé et attribut du sujet) avec le nom."
"****","OR22","Écrire sans erreur les homophones grammaticaux déjà étudiés, ainsi que ses/ces, mes/mais, on/on n’, ce/se, c’/s’ (c’est/s’est, c’était/s’était), ou/où, la/l’a/l’as/là."
"****","OR23","Écrire sans erreur les infinitifs de verbes du premier groupe après préposition (il me dit d’aller)."
"***",,"Orthographe lexicale"
"****","OR24","Écrire sans erreur des mots invariables, en particulier les plus fréquents de ceux étudiés en grammaire."
"****","OR25","S’appuyer sur sa connaissance des familles de mot pour écrire sans erreur des mots nouveaux (préfixe in-, im-, il- ou ir-, suffixe -tion...)."
"****","OR26","Mémoriser la graphie de la syllabe finale des noms terminés par -ail, -eil, -euil."
"*",,"MATHÉMATIQUES"
"**",,"Nombres et calcul (CM1)"
"***",,"Les nombres entiers jusqu’au milliard"
"****","NC12","Connaître, savoir écrire et nommer les nombres entiers jusqu’au milliard."
"****","NC13","Comparer, ranger, encadrer ces nombres."
"****","NC14","La notion de multiple : reconnaître les multiples des nombres d’usage courant : 5, 10, 15, 20, 25, 50."
"***",,"Fractions"
"****","NC15","Nommer les fractions simples et décimales en utilisant le vocabulaire : demi, tiers, quart, dixième, centième."
"****","NC16","Utiliser ces fractions dans des cas simples de partage ou de codage de mesures de grandeurs."
"***",,"Nombres décimaux"
"****","NC17","Connaître la valeur de chacun des chiffres de la partie décimale en fonction de sa position (jusqu’au 1/100ème)."
"****","NC18","Savoir :"
"*****","NC18a","- les repérer, les placer sur une droite graduée,"
"*****","NC18b","- les comparer, les ranger,"
"*****","NC18c","- les encadrer par deux nombres entiers consécutifs,"
"*****","NC18d","- passer d’une écriture fractionnaire à une écriture à virgule et réciproquement."
"***",,"Calcul sur des nombres entiers - Calculer mentalement"
"****","N19","Consolider les connaissances et capacités en calcul mental sur les nombres entiers."
"****","NC20","Multiplier mentalement un nombre entier ou décimal par 10, 100, 1 000."
"****","NC21","Estimer mentalement un ordre de grandeur du résultat."
"***",,"Calcul sur des nombres entiers - Effectuer un calcul posé"
"****","NC22","Addition et soustraction de deux nombres décimaux."
"****","NC23","Multiplication d’un nombre décimal par un nombre entier."
"****","NC24","Division euclidienne de deux entiers."
"****","NC25","Division décimale de deux entiers."
"****","NC26","Connaître quelques fonctionnalités de la calculatrice utiles pour effectuer une suite de calculs."
"***",,"Calcul sur des nombres entiers - Problèmes"
"****","NC27","Résoudre des problèmes engageant une démarche à une ou plusieurs étapes."
"**",,"Géométrie (CM1)"
"***",,"Dans le plan"
"****","GE11","Reconnaître que des droites sont parallèles."
"****","GE12","Utiliser en situation le vocabulaire géométrique : points alignés, droite, droites perpendiculaires, droites parallèles, segment, milieu, angle, axe de symétrie, centre d’un cercle, rayon, diamètre."
"****","GE13","Vérifier la nature d’une figure plane simple en utilisant la règle graduée, l’équerre, le compas."
"****","GE14","Décrire une figure en vue de l’identifier parmi d’autres figures ou de la faire reproduire."
"***",,"Dans l’espace"
"****","GE15","Reconnaître, décrire et nommer les solides droits : cube, pavé, prisme."
"****","GE16","Reconnaître ou compléter un patron de cube ou de pavé."
"***",,"Problèmes de reproduction, de construction"
"****","GE17","Compléter une figure par symétrie axiale."
"****","GE18","Tracer une figure simple à partir d’un programme de construction ou en suivant des consignes."
"**",,"Grandeurs et mesure (CM1)"
"***",,"Connaître et utiliser : "
"****","GM07a","- les unités usuelles de mesure des durées, "
"****","GM07b","- les unités du système métrique pour les longueurs, les masses et les contenances, et leurs relations."
"***","GM08","Reporter des longueurs à l’aide du compas."
"***","GM09","Formules du périmètre du carré et du rectangle."
"***",,"Aires"
"****","GM10","Mesurer ou estimer l’aire d’une surface grâce à un pavage effectif à l’aide d’une surface de référence ou grâce à l’utilisation d’un réseau quadrillé."
"****","GM11","Classer et ranger des surfaces selon leur aire."
"***",,"Angles"
"****","GM12","Comparer les angles d’une figure en utilisant un gabarit."
"****","GM13","Estimer et vérifier en utilisant l’équerre, qu’un angle est droit, aigu ou obtus."
"***",,"Problèmes"
"****","GM14","Résoudre des problèmes dont la résolution implique éventuellement des conversions."
"**",,"Organisation et gestion de données (CM1)"
"***","OG03","Construire un tableau ou un graphique."
"***","OG04","Interpréter un tableau ou un graphique."
"***","OG05","Lire les coordonnées d’un point."
"***","OG06","Placer un point dont on connaît les coordonnées."
"***","OG07","Utiliser un tableau ou la “règle de trois” dans des situations très simples de proportionnalité."
"*",,"ÉDUCATION PHYSIQUE ET SPORTIVE"
"**",,"Réaliser une performance mesurée (en distance, en temps)"
"***",,"Activités athlétiques : "
"****","EP01a","- courir vite, "
"****","EP01b","- courir longtemps,"
"****","EP01c","- courir en franchissant des obstacles,"
"****","EP01d","- courir en relais,"
"****","EP01e","- sauter loin,"
"****","EP01f","- sauter haut,"
"****","EP01g","- lancer loin."
"***","EP02","Natation : se déplacer sur une trentaine de mètres."
"**",,"Adapter ses déplacements à différents types d’environnement"
"***","EP03","Activités d’escalade : grimper et redescendre sur un trajet annoncé (mur équipé)."
"***",,"Activités aquatiques et nautiques :"
"****","EP04a","- plonger, "
"****","EP04b","- s’immerger,"
"****","EP04c","- se déplacer."
"***",,"Activités de roule et glisse : réaliser un parcours d’actions diverses :"
"****","EP05a","- en roller, "
"****","EP05b","- en vélo,"
"****","EP05c","- en ski."
"***","EP06","Activités d’orientation : retrouver plusieurs balises dans un espace semi-naturel en s’aidant d’une carte."
"**",,"Coopérer et s’opposer individuellement et collectivement"
"***","EP07","Jeux de lutte : amener son adversaire au sol pour l’immobiliser."
"***","EP08","Jeux de raquettes : marquer des points dans un match à deux."
"***",,"Jeux sportifs collectifs (type handball, basket-ball, football, rugby, volley-ball...) : "
"****","EP09a","- coopérer avec ses partenaires pour affronter collectivement des adversaires, "
"****","EP09b","- respecter des règles,"
"****","EP09c","- assurer des rôles différents (attaquant, défenseur, arbitre)."
"**",,"Concevoir et réaliser des actions à visées expressive, artistique, esthétique "
"***",,"Danse : construire à plusieurs une phrase dansée (chorégraphie de 5 éléments au moins) pour exprimer corporellement :"
"****","EP10a","- des personnages, "
"****","EP10b","- des images,"
"****","EP10c","- des sentiments"
"****","EP10d","Construire à plusieurs une phrase dansée pour communiquer des émotions, sur des supports sonores divers."
"***","EP11","Activités gymniques : construire et réaliser un enchaînement de 4 ou 5 éléments “acrobatiques” sur divers engins (barres, moutons, poutres, tapis)."
"*",,"LANGUE VIVANTE"
"**","LV01","Avoir acquis les compétences nécessaires à la communication élémentaire définie par le niveau A1 du Cadre européen commun de référence pour les langues."
"**",,"Utiliser les composantes sonores de la langue :"
"***","LV02a","- accentuation,"
"***","LV02b","- mélodies,"
"***","LV02c","- rythmes propres à la langue apprise."
"**",,"Utiliser des formes élémentaires : "
"***","LV03a","- phrase simple"
"***","LV03b","- conjonctions de coordination."
"**","LV04","Connaître l’orthographe des mots utilisés."
"**","LV05","Connaître les modes de vie du pays."
"*",,"SCIENCES EXPÉRIMENTALES ET TECHNOLOGIE"
"**",,"Le ciel et la Terre"
"***","ST01a","Le mouvement de la Terre (et des planètes) autour du Soleil, la rotation de la Terre sur elle-même."
"***","ST01b","La durée du jour et son changement au cours des saisons."
"***","ST02","Le mouvement de la Lune autour de la Terre."
"***","ST03","Lumières et ombres."
"***","ST04","Volcans et séismes, les risques pour les sociétés humaines."
"**",,"La matière"
"***",,"L'eau"
"****","ST05a","L’eau : une ressource."
"****","ST05b","Les états et changements d’état."
"****","ST05c","Le trajet de l’eau dans la nature."
"****","ST05d","Le maintien de sa qualité pour ses utilisations."
"***","ST06","L’air et les pollutions de l’air."
"***","ST07","Mélanges et solutions."
"***","ST08","Les déchets : réduire, réutiliser, recycler."
"**",,"L’énergie"
"***","ST09","Exemples simples de sources d’énergies (fossiles ou renouvelables)."
"***","ST10","Besoins en énergie, consommation et économie d’énergie."
"**",,"L’unité et la diversité du vivant"
"***","ST11","Présentation de la biodiversité : recherche de différences entre espèces vivantes."
"***","ST12","Présentation de l’unité du vivant : recherche de points communs entre espèces vivantes."
"***","ST13","Présentation de la classification du vivant : interprétation de ressemblances et différences en termes de parenté."
"**",,"Le fonctionnement du vivant"
"***","ST14","Les stades du développement d’un être vivant (végétal ou animal)."
"***","ST15","Les conditions de développement des végétaux et des animaux."
"***","ST16","Les modes de reproduction des êtres vivants."
"**",,"Le fonctionnement du corps humain et la santé"
"***","ST17","Les mouvements corporels (les muscles, les os du squelette, les articulations)."
"***","ST18","Première approche des fonctions de nutrition : digestion, respiration et circulation sanguine."
"***","ST19","Reproduction de l’Homme et éducation à la sexualité."
"***","ST20","Hygiène et santé : actions bénéfiques ou nocives de nos comportements, notamment dans le domaine du sport, de l’alimentation, du sommeil."
"**",,"Les êtres vivants dans leur environnement"
"***","ST21","L’adaptation des êtres vivants aux conditions du milieu."
"***","ST22","Places et rôles des êtres vivants ; notions de chaînes et de réseaux alimentaires."
"***","ST23","L’évolution d’un environnement géré par l’Homme : la forêt ; importance de la biodiversité."
"**",,"Les objets techniques"
"***","ST24","Circuits électriques alimentés par des piles."
"***","ST25","Règles de sécurité, dangers de l’électricité."
"***","ST26","Leviers et balances, équilibres."
"***","ST27","Objets mécaniques, transmission de mouvements."
"*",,"CULTURE HUMANISTE"
"**",,"HISTOIRE"
"***",,"La Préhistoire"
"****","HI01","Les premières traces de vie humaine, la maîtrise du feu et les débuts de l’agriculture, l’apparition de l’art."
"****","HI02","L’homme de Tautavel il y a près de 500 000 ans ; Lascaux il y a 17 000 ans."
"***",,"L’Antiquité"
"****","HI03","Les Gaulois, la romanisation de la Gaule et la christianisation du monde gallo-romain."
"****","HI04a","- Jules César et Vercingétorix ; "
"****","HI04b","- 52 avant notre ère : Alésia."
"***",,"Le Moyen Âge"
"****","HI05","Après les invasions, la naissance et le développement du royaume de France."
"****","HI06","Les relations entre seigneurs et paysans, le rôle de l’Église."
"****","HI07","Conflits et échanges en Méditerranée : les Croisades, la découverte d’une autre civilisation, l’Islam."
"****","HI08","La guerre de Cent Ans."
"****","HI09a","- 496 : baptême de Clovis ;"
"****","HI09b","- 800 : couronnement de Charlemagne ;"
"****","HI09c","- 987 : Hugues Capet, roi de France ;"
"****","HI09d","- Saint Louis ;"
"****","HI09e","- Jeanne d’Arc."
"***",,"Les Temps modernes"
"****","HI10","Le temps des Découvertes et des premiers empires coloniaux, la traite des Noirs et l’esclavage."
"****","HI11","La Renaissance : les arts, quelques découvertes scientifiques, catholiques et protestants."
"****","HI12","Louis XIV un monarque absolu."
"****","HI13","Les Lumières."
"****","HI14a","- Gutenberg ; "
"****","HI14b","- 1492 : Christophe Colomb en Amérique ;"
"****","HI14c","- François Ier ;"
"****","HI14d","- Copernic ;"
"****","HI14e","- Galilée ;"
"****","HI14f","- Henri IV et l’édit de Nantes ;"
"****","HI14g","- Richelieu ;"
"****","HI14h","- Louis XIV, Voltaire, Rousseau."
"***",,"La Révolution française et le XIXème siècle"
"****","HI15","La Révolution française et le Premier empire : l’aspiration à la liberté et à l’égalité, la Terreur, les grandes réformes de Napoléon Bonaparte."
"****","HI16","La France dans une Europe en expansion industrielle et urbaine : le temps du travail en usine, des progrès techniques, des colonies et de l’émigration."
"****","HI17","L’installation de la démocratie et de la République."
"****","HI18a","- Louis XVI ; "
"****","HI18b","- 14 juillet 1789 : prise de la Bastille ;"
"****","HI18c","- 26 août 1789 : Déclaration des droits de l’Homme et  du citoyen ;"
"****","HI18d","- 22 septembre 1792 : proclamation de la République ;"
"****","HI18e","- 1804 : Napoléon Ier, empereur des Français ;"
"****","HI18f","- 1848 : suffrage universel masculin et abolition de l’esclavage ;"
"****","HI18g","- 1882 : Jules Ferry et l’école gratuite, laïque et obligatoire ;"
"****","HI18h","- Pasteur ;"
"****","HI18i","- Marie Curie ;"
"****","HI18j","- 1905 : loi de séparation des Églises et de l’État."
"***",,"Le XXème siècle et notre époque"
"****",,"La violence du XXème siècle"
"*****","HI19a","- les deux conflits mondiaux ;"
"*****","HI19b","- l’extermination des Juifs et des Tziganes par les nazis : un crime contre l’humanité."
"****","HI20","La révolution scientifique et technologique, la société de consommation."
"****","HI21","La Vème République."
"****","HI22","La construction européenne."
"****","HI23a","- 1916 : bataille de Verdun,"
"****","HI23b","- Clemenceau,"
"****","HI23c","- 11 novembre 1918 : armistice de la Grande Guerre,"
"****","HI23d","- 18 juin 1940 : appel du général de Gaulle,"
"****","HI23e","-Jean Moulin,"
"****","HI23f","- 8 mai 1945 : fin de la Seconde Guerre mondiale en Europe,"
"****","HI23g","- 1945 : droit de vote des femmes en France,"
"****","HI23h","- 1957 : traité de Rome,"
"****","HI23i","- 1958 : Charles de Gaulle et la fondation de la Vème République,"
"****","HI23j","- 1989 : chute du mur de Berlin,"
"****","HI23k","- 2002 : l’euro, monnaie européenne."
"**",,"GÉOGRAPHIE"
"***",,"Des réalités géographiques locales à la région où vivent les élèves"
"****","GE01","Les paysages de village, de ville ou de quartier, la circulation des hommes et des biens, les principales activités économiques ;"
"****","GE02","Un sujet d’étude au choix permettant une première approche du développement durable : l’eau dans la commune (besoins et traitement) ou les déchets (réduction et recyclage)."
"****","GE03","Le département et la région."
"***",,"Le territoire français dans l’Union européenne"
"****","GE04","Les grands types de paysages."
"****","GE05","La diversité des régions françaises."
"****","GE06","Les frontières de la France et les pays de l’Union européenne."
"****","GE07","Principaux caractères du relief, de l’hydrographie et du climat en France et en Europe : étude de cartes."
"****","GE08","Le découpage administratif de la France (départements, régions) : étude de cartes."
"****","GE09","Les pays de l’Union européenne : étude de cartes."
"***",,"Les Français dans le contexte européen"
"****","GE10","La répartition de la population sur le territoire national et en Europe."
"****","GE11","Les principales villes en France et en Europe."
"****","GE12","Répartition de la population et localisation des principales villes : étude de cartes."
"***",,"Se déplacer en France et en Europe"
"****","GE13","Un aéroport."
"****","GE14","Le réseau autoroutier et le réseau TGV."
"****","GE15","Le réseau ferré à grande vitesse en Europe : étude de cartes."
"***",,"Produire en France"
"****","GE16","Quatre types d’espaces d’activités : une zone industrialo-portuaire, un centre tertiaire, un espace agricole et une zone de tourisme."
"***",,"La France dans le monde"
"****","GE17","Les territoires français dans le monde."
"****","GE18","La langue française dans le monde."
"**",,"PRATIQUES ARTISTIQUES"
"***",,"Arts visuels"
"****","PA01","Acquérir des savoirs et des techniques spécifiques."
"****","PA02","Cerner la notion d’œuvre d’art."
"****","PA03","Distinguer la valeur d’usage de la valeur esthétique des objets étudiés."
"***",,"Éducation musicale"
"****","PA04","S’exercer à comparer des œuvres musicales."
"****","PA05","Découvrir la variété des genres et des styles selon les époques et les cultures."
"****","PA06","Percevoir et identifier des éléments musicaux caractéristiques de la musique écoutée."
"**",,"HISTOIRE DE L'ART"
"***","HA01","Se situer parmi les productions artistiques de l’humanité et les différentes cultures considérées dans le temps et dans l’espace."
"***","HA02","Découvrir les richesses, la permanence et l’universalité de la création artistique."
"***","HA03","Éveiller sa curiosité pour les chefs-d’œuvre ou les activités artistiques de leur ville ou de leur région."
"***",,"La Préhistoire et l’Antiquité gallo-romaine"
"****","HA04","Architecture préhistorique (un ensemble mégalithique) et antique (des monuments gallo-romains)."
"****","HA05","Une mosaïque gallo-romaine."
"****","HA06","Peintures de Lascaux ; une sculpture antique."
"***",,"Le Moyen Âge"
"****","HA07","Architecture religieuse (une église romane ; une église gothique ; une mosquée ; une abbaye) ; bâtiments et sites militaires et civils (un château fort ; une cité fortifiée ; une maison à colombage)."
"****","HA08","Un extrait d’un roman de chevalerie."
"****","HA09","Un costume, un vitrail, une tapisserie."
"****","HA10","Musique religieuse (un chant grégorien) et musique profane (une chanson de troubadour)."
"****","HA11","Une fête et un spectacle de la culture populaire et nobiliaire (le carnaval, le tournoi)."
"****","HA12","Une fresque ; une sculpture romane ; une sculpture gothique ; un manuscrit enluminé."
"***",,"Les Temps modernes"
"****","HA13","Une architecture royale (un château de la Loire, Versailles), une architecture militaire (une fortification) ; une place urbaine ; un jardin à la française."
"****","HA14","Des poésies de la Renaissance ; un conte ou une fable de l’époque classique."
"****","HA15","Une pièce de mobilier et de costume ; un moyen de transport ; une tapisserie."
"****","HA16","Musique instrumentale et vocale du répertoire baroque et classique (une symphonie ; une œuvre vocale religieuse)."
"****","HA17","Une chanson du répertoire populaire."
"****","HA18","Un extrait de pièce de théâtre."
"****","HA19","Des peintures et sculptures de la Renaissance, des XVIIème et XVIIIème siècles (Italie, Flandres, France)."
"***",,"Le XIXème siècle"
"****","HA20","Une architecture industrielle (une gare)."
"****","HA21","Urbanisme : un plan de ville."
"****","HA22","Des récits, des poésies."
"****","HA23","Des éléments de mobilier et de décoration et d’arts de la table (Sèvres, Limoges)."
"****","HA24","Extraits musicaux de l’époque romantique (symphonie, opéra)."
"****","HA25","Un extrait de pièce de théâtre, de ballet."
"****","HA26","Quelques œuvres illustrant les principaux mouvements picturaux (romantisme, réalisme, impressionnisme) ; un maître de la sculpture ; un court-métrage des débuts du cinématographe ; des photographies d’époque."
"***",,"Le XXème siècle et notre époque"
"****","HA27","Architecture : ouvrages d’art et habitat."
"****","HA28","Des récits, nouvelles, récits illustrés, poésies."
"****","HA29","Design graphique (une affiche) ; design de transport (un train)."
"****","HA30","Des musiques du XXème siècle (dont jazz, musiques de films, chansons)."
"****","HA31","Spectacle de mime, de cirque, de théâtre ; un extrait d’un spectacle de danse moderne ou contemporaine."
"****","HA32","Quelques œuvres illustrant les principaux mouvements picturaux contemporains ; une sculpture ; des œuvres cinématographiques (dont le cinéma muet) et photographiques ; des œuvres cinématographiques illustrant les différentes périodes historiques."
"*",,"TECHNIQUES USUELLES DE L’INFORMATION ET DE LA COMMUNICATION"
"**","TC01","S’approprier un environnement informatique de travail."
"**","TC02","Adopter une attitude responsable."
"**","TC03","Créer, produire, traiter, exploiter des données."
"**","TC04","S’informer, se documenter."
"**","TC05","Communiquer, échanger."
"**","TC06","Maîtriser les fonctions de base d’un ordinateur : "
"***","TC06a","- fonction des différents éléments, "
"***","TC06b","- utilisation de la souris, du clavier."
"**","TC07a","Utiliser un traitement de texte."
"**","TC07b","Écrire un document numérique."
"**","TC07c","Envoyer et recevoir des messages."
"**","TC08a","Effectuer une recherche en ligne."
"**","TC08b","Identifier et trier des informations."
"*",,"INSTRUCTION CIVIQUE ET MORALE"
"**","IC01","S’intégrer à la collectivité de la classe et de l’école."
"**","IC02","Réfléchir sur les problèmes concrets posés par sa vie d’écolier."
"**","IC03","Prendre conscience de manière plus explicite des fondements même de la morale : "
"***","IC03a","- les liens qui existent entre la liberté personnelle et les contraintes de la vie sociale, "
"***","IC03b","- la responsabilité de ses actes ou de son comportement,"
"***","IC03c","- le respect de valeurs partagées,"
"***","IC03d","- l’importance de la politesse et du respect d’autrui."
"**","IC04","Identifier et comprendre l’importance des valeurs, des textes fondateurs, des symboles de la République française et de l’Union européenne, notamment la Déclaration des droits de l’Homme et du citoyen."
